"d_date","t_count"
"2013-07-01",163
"2013-07-02",817
"2013-07-03",699
"2013-07-04",565
"2013-07-05",196
"2013-07-06",149
"2013-07-07",81
"2013-07-08",677
"2013-07-09",1422
"2013-07-10",1617
"2013-07-11",1282
"2013-07-12",988
"2013-07-13",204
"2013-07-14",204
"2013-07-15",931
"2013-07-16",1188
"2013-07-17",1786
"2013-07-18",1896
"2013-07-19",1237
"2013-07-20",280
"2013-07-21",222
"2013-07-22",864
"2013-07-23",1325
"2013-07-24",1905
"2013-07-25",1293
"2013-07-26",985
"2013-07-27",273
"2013-07-28",190
"2013-07-29",947
"2013-07-30",1306
"2013-07-31",1525
"2013-08-01",1562
"2013-08-02",1181
"2013-08-03",240
"2013-08-04",263
"2013-08-05",700
"2013-08-06",914
"2013-08-07",842
"2013-08-08",837
"2013-08-09",885
"2013-08-10",213
"2013-08-11",218
"2013-08-12",838
"2013-08-13",940
"2013-08-14",952
"2013-08-15",731
"2013-08-16",689
"2013-08-17",230
"2013-08-18",178
"2013-08-19",725
"2013-08-20",846
"2013-08-21",813
"2013-08-22",1095
"2013-08-23",805
"2013-08-24",286
"2013-08-25",235
"2013-08-26",880
"2013-08-27",922
"2013-08-28",1338
"2013-08-29",1017
"2013-08-30",667
"2013-08-31",436
"2013-09-01",259
"2013-09-02",421
"2013-09-03",876
"2013-09-04",1096
"2013-09-05",998
"2013-09-06",892
"2013-09-07",363
"2013-09-08",257
"2013-09-09",844
"2013-09-10",1475
"2013-09-11",1750
"2013-09-12",1196
"2013-09-13",1002
"2013-09-14",329
"2013-09-15",325
"2013-09-16",1037
"2013-09-17",1722
"2013-09-18",1841
"2013-09-19",1912
"2013-09-20",1681
"2013-09-21",366
"2013-09-22",267
"2013-09-23",1025
"2013-09-24",1229
"2013-09-25",1567
"2013-09-26",1632
"2013-09-27",1321
"2013-09-28",941
"2013-09-29",453
"2013-09-30",1912
"2013-10-01",1768
"2013-10-02",1507
"2013-10-03",1362
"2013-10-04",1019
"2013-10-05",528
"2013-10-06",306
"2013-10-07",978
"2013-10-08",1208
"2013-10-09",1431
"2013-10-10",1211
"2013-10-11",986
"2013-10-12",512
"2013-10-13",277
"2013-10-14",511
"2013-10-15",905
"2013-10-16",1200
"2013-10-17",769
"2013-10-18",711
"2013-10-19",180
"2013-10-20",165
"2013-10-21",504
"2013-10-22",868
"2013-10-23",1179
"2013-10-24",1091
"2013-10-25",672
"2013-10-26",311
"2013-10-27",151
"2013-10-28",845
"2013-10-29",1392
"2013-10-30",1480
"2013-10-31",1090
"2013-11-01",900
"2013-11-02",266
"2013-11-03",211
"2013-11-04",1033
"2013-11-05",1028
"2013-11-06",1123
"2013-11-07",1145
"2013-11-08",899
"2013-11-09",291
"2013-11-10",318
"2013-11-11",758
"2013-11-12",879
"2013-11-13",1440
"2013-11-14",1312
"2013-11-15",938
"2013-11-16",233
"2013-11-17",260
"2013-11-18",914
"2013-11-19",1315
"2013-11-20",1370
"2013-11-21",1153
"2013-11-22",980
"2013-11-23",326
"2013-11-24",263
"2013-11-25",810
"2013-11-26",788
"2013-11-27",569
"2013-11-28",428
"2013-11-29",167
"2013-11-30",301
"2013-12-01",191
"2013-12-02",645
"2013-12-03",1108
"2013-12-04",970
"2013-12-05",1202
"2013-12-06",851
"2013-12-07",445
"2013-12-08",223
"2013-12-09",883
"2013-12-10",1081
"2013-12-11",1221
"2013-12-12",1263
"2013-12-13",730
"2013-12-14",292
"2013-12-15",168
"2013-12-16",674
"2013-12-17",855
"2013-12-18",843
"2013-12-19",840
"2013-12-20",777
"2013-12-21",188
"2013-12-22",208
"2013-12-23",420
"2013-12-24",236
"2013-12-25",253
"2013-12-26",151
"2013-12-27",175
"2013-12-28",160
"2013-12-29",163
"2013-12-30",310
"2013-12-31",299
"2014-01-01",292
"2014-01-02",389
"2014-01-03",490
"2014-01-04",199
"2014-01-05",161
"2014-01-06",803
"2014-01-07",971
"2014-01-08",1071
"2014-01-09",1022
"2014-01-10",969
"2014-01-11",345
"2014-01-12",215
"2014-01-13",810
"2014-01-14",1208
"2014-01-15",1377
"2014-01-16",1124
"2014-01-17",869
"2014-01-18",225
"2014-01-19",220
"2014-01-20",552
"2014-01-21",685
"2014-01-22",989
"2014-01-23",920
"2014-01-24",994
"2014-01-25",238
"2014-01-26",212
"2014-01-27",897
"2014-01-28",3492
"2014-01-29",1568
"2014-01-30",897
"2014-01-31",909
"2014-02-01",256
"2014-02-02",308
"2014-02-03",723
"2014-02-04",1509
"2014-02-05",1399
"2014-02-06",1184
"2014-02-07",920
"2014-02-08",225
"2014-02-09",237
"2014-02-10",919
"2014-02-11",1341
"2014-02-12",1191
"2014-02-13",694
"2014-02-14",781
"2014-02-15",236
"2014-02-16",146
"2014-02-17",362
"2014-02-18",834
"2014-02-19",840
"2014-02-20",870
"2014-02-21",786
"2014-02-22",227
"2014-02-23",222
"2014-02-24",949
"2014-02-25",1245
"2014-02-26",1621
"2014-02-27",1370
"2014-02-28",1008
"2014-03-01",384
"2014-03-02",251
"2014-03-03",508
"2014-03-04",1109
"2014-03-05",1463
"2014-03-06",1289
"2014-03-07",914
"2014-03-08",369
"2014-03-09",203
"2014-03-10",995
"2014-03-11",1264
"2014-03-12",1700
"2014-03-13",1528
"2014-03-14",961
"2014-03-15",290
"2014-03-16",275
"2014-03-17",762
"2014-03-18",953
"2014-03-19",1067
"2014-03-20",1111
"2014-03-21",976
"2014-03-22",321
"2014-03-23",359
"2014-03-24",993
"2014-03-25",1654
"2014-03-26",1618
"2014-03-27",1399
"2014-03-28",883
"2014-03-29",381
"2014-03-30",262
"2014-03-31",1159
"2014-04-01",1280
"2014-04-02",1763
"2014-04-03",1517
"2014-04-04",1003
"2014-04-05",336
"2014-04-06",189
"2014-04-07",1072
"2014-04-08",1730
"2014-04-09",1760
"2014-04-10",1485
"2014-04-11",919
"2014-04-12",282
"2014-04-13",234
"2014-04-14",918
"2014-04-15",1103
"2014-04-16",950
"2014-04-17",555
"2014-04-18",424
"2014-04-19",180
"2014-04-20",239
"2014-04-21",841
"2014-04-22",1228
"2014-04-23",1048
"2014-04-24",1059
"2014-04-25",832
"2014-04-26",339
"2014-04-27",252
"2014-04-28",1294
"2014-04-29",1346
"2014-04-30",1778
"2014-05-01",1437
"2014-05-02",1179
"2014-05-03",362
"2014-05-04",242
"2014-05-05",1165
"2014-05-06",1704
"2014-05-07",1831
"2014-05-08",1765
"2014-05-09",1284
"2014-05-10",324
"2014-05-11",374
"2014-05-12",1071
"2014-05-13",1281
"2014-05-14",1351
"2014-05-15",1428
"2014-05-16",1005
"2014-05-17",439
"2014-05-18",252
"2014-05-19",1014
"2014-05-20",1717
"2014-05-21",1646
"2014-05-22",1489
"2014-05-23",925
"2014-05-24",291
"2014-05-25",318
"2014-05-26",853
"2014-05-27",831
"2014-05-28",1238
"2014-05-29",1312
"2014-05-30",1300
"2014-05-31",372
"2014-06-01",211
"2014-06-02",1050
"2014-06-03",1147
"2014-06-04",1037
"2014-06-05",1236
"2014-06-06",1391
"2014-06-07",317
"2014-06-08",216
"2014-06-09",1246
"2014-06-10",1543
"2014-06-11",1450
"2014-06-12",1270
"2014-06-13",963
"2014-06-14",495
"2014-06-15",377
"2014-06-16",1075
"2014-06-17",1278
"2014-06-18",1534
"2014-06-19",1634
"2014-06-20",1196
"2014-06-21",287
"2014-06-22",360
"2014-06-23",1252
"2014-06-24",1553
"2014-06-25",1863
"2014-06-26",1798
"2014-06-27",1071
"2014-06-28",350
"2014-06-29",221
"2014-06-30",1359
"2014-07-01",1422
"2014-07-02",1305
"2014-07-03",1056
"2014-07-04",1058
"2014-07-05",296
"2014-07-06",211
"2014-07-07",1073
"2014-07-08",1541
"2014-07-09",2082
"2014-07-10",2036
"2014-07-11",1678
"2014-07-12",550
"2014-07-13",347
"2014-07-14",1535
"2014-07-15",2269
"2014-07-16",2224
"2014-07-17",1807
"2014-07-18",1619
"2014-07-19",562
"2014-07-20",453
"2014-07-21",1409
"2014-07-22",1691
"2014-07-23",1739
"2014-07-24",1839
"2014-07-25",1307
"2014-07-26",603
"2014-07-27",401
"2014-07-28",1193
"2014-07-29",1489
"2014-07-30",2110
"2014-07-31",1501
"2014-08-01",1509
"2014-08-02",584
"2014-08-03",367
"2014-08-04",1173
"2014-08-05",1237
"2014-08-06",1218
"2014-08-07",1248
"2014-08-08",916
"2014-08-09",417
"2014-08-10",263
"2014-08-11",912
"2014-08-12",1026
"2014-08-13",1145
"2014-08-14",1226
"2014-08-15",906
"2014-08-16",391
"2014-08-17",263
"2014-08-18",965
"2014-08-19",1186
"2014-08-20",1202
"2014-08-21",1073
"2014-08-22",941
"2014-08-23",446
"2014-08-24",288
"2014-08-25",917
"2014-08-26",1394
"2014-08-27",1200
"2014-08-28",1284
"2014-08-29",899
"2014-08-30",362
"2014-08-31",277
"2014-09-01",617
"2014-09-02",950
"2014-09-03",1230
"2014-09-04",1365
"2014-09-05",1040
"2014-09-06",548
"2014-09-07",356
"2014-09-08",1163
"2014-09-09",1877
"2014-09-10",2150
"2014-09-11",1695
"2014-09-12",1304
"2014-09-13",654
"2014-09-14",427
"2014-09-15",1325
"2014-09-16",1698
"2014-09-17",2830
"2014-09-18",2162
"2014-09-19",1443
"2014-09-20",704
"2014-09-21",482
"2014-09-22",1179
"2014-09-23",1518
"2014-09-24",1498
"2014-09-25",1358
"2014-09-26",1382
"2014-09-27",689
"2014-09-28",485
"2014-09-29",1330
"2014-09-30",1511
"2014-10-01",1571
"2014-10-02",1340
"2014-10-03",1446
"2014-10-04",549
"2014-10-05",447
"2014-10-06",1271
"2014-10-07",1596
"2014-10-08",1464
"2014-10-09",1386
"2014-10-10",1495
"2014-10-11",565
"2014-10-12",397
"2014-10-13",585
"2014-10-14",1157
"2014-10-15",1228
"2014-10-16",1440
"2014-10-17",1330
"2014-10-18",584
"2014-10-19",372
"2014-10-20",1061
"2014-10-21",1285
"2014-10-22",1328
"2014-10-23",1334
"2014-10-24",1296
"2014-10-25",739
"2014-10-26",560
"2014-10-27",1161
"2014-10-28",1431
"2014-10-29",1577
"2014-10-30",1608
"2014-10-31",1626
"2014-11-01",1190
"2014-11-02",965
"2014-11-03",1547
"2014-11-04",3190
"2014-11-05",1125
"2014-11-06",780
